account_id,segment,outstanding_balance,z_score,composite_severity,rating,months_on_book
ACC080,CRE,9182953.14,2.3,1.95,Watch,108
ACC081,Consumer,9505392.12,0.12,0.14,Doubtful,112
ACC082,SBA,8982360.22,1.44,1.58,Doubtful,63
ACC083,Consumer,7681555.47,1.16,1.17,Watch,41
ACC084,SBA,867085.2,1.88,1.72,Substandard,48
ACC085,CRE,1593223.51,0.72,0.69,Watch,96
ACC086,CRE,735865.62,2.22,2.14,Doubtful,59
ACC087,SBA,9057900.94,2.77,2.86,Pass,115
ACC088,SBA,4822099.35,1.85,2.18,Substandard,102
ACC089,SBA,5428383.62,-0.26,0.28,Watch,68
ACC090,CRE,2802059.59,2.41,2.4,Doubtful,49
ACC091,CRE,8421006.06,0.41,0.48,Pass,56
ACC092,C&I,931079.88,-0.21,0.2,Doubtful,29
ACC093,CRE,4601523.32,2.04,1.91,Doubtful,41
ACC094,SBA,2597488.16,1.47,1.22,Pass,101
ACC095,Consumer,2319799.44,-2.56,2.12,Pass,102
ACC096,C&I,9501156.15,0.25,0.22,Pass,85
ACC097,C&I,5683298.86,1.47,1.3,Substandard,104
ACC098,Consumer,1761112.52,1.58,1.65,Pass,105
ACC099,C&I,5828978.85,2.18,2.55,Doubtful,56
ACC100,CRE,852365.13,-0.91,0.98,Watch,19
